vit_bits,qformer_bits,txt_r1,txt_r5,txt_r10,txt_r_mean,img_r1,img_r5,img_r10,img_r_mean,r_mean,agg_metrics,model_size
4,8,97.4,100.0,100.0,99.13333333333333,89.64,98.2,99.04,95.62666666666667,97.38,99.13333333333333,6043390528
4,16,97.4,100.0,100.0,99.13333333333333,89.66,98.2,99.02,95.62666666666667,97.38,99.13333333333333,7337464384
5,2,88.1,94.6,95.3,92.66666666666667,83.18,95.54,96.88,91.86666666666667,92.26666666666668,92.66666666666667,6057372352
5,3,98.2,100.0,100.0,99.39999999999999,89.44,98.22,99.06,95.57333333333334,97.48666666666666,99.39999999999999,6219131584
5,4,97.9,100.0,100.0,99.3,89.58,98.18,99.12,95.62666666666667,97.46333333333334,99.3,6380890816
5,5,97.6,100.0,100.0,99.2,89.44,98.18,99.08,95.56666666666666,97.38333333333333,99.2,6542650048
5,6,97.9,100.0,100.0,99.3,89.46,98.2,99.04,95.56666666666666,97.43333333333334,99.3,6704409280
5,8,98.0,100.0,100.0,99.33333333333333,89.4,98.18,99.08,95.55333333333334,97.44333333333333,99.33333333333333,7027927744
5,16,97.8,100.0,100.0,99.26666666666667,89.36,98.18,99.08,95.54,97.40333333333334,99.26666666666667,8322001600
6,2,87.8,94.9,95.4,92.7,83.22,95.76,97.04,92.00666666666667,92.35333333333334,92.7,7041909568
6,3,98.2,100.0,100.0,99.39999999999999,89.46,98.3,99.1,95.62,97.50999999999999,99.39999999999999,7203668800
6,4,97.9,100.0,100.0,99.3,89.68,98.26,99.06,95.66666666666667,97.48333333333333,99.3,7365428032
6,5,97.8,100.0,100.0,99.26666666666667,89.58,98.14,99.06,95.59333333333332,97.42999999999999,99.26666666666667,7527187264
6,6,97.9,100.0,100.0,99.3,89.54,98.2,99.04,95.59333333333335,97.44666666666667,99.3,7688946496
6,8,97.9,100.0,100.0,99.3,89.42,98.2,99.06,95.56,97.43,99.3,8012464960
6,16,97.9,100.0,100.0,99.3,89.4,98.2,99.06,95.55333333333334,97.42666666666668,99.3,9306538816
8,2,87.8,94.9,95.5,92.73333333333333,83.7,95.62,97.06,92.12666666666667,92.43,92.73333333333333,9010984000
8,3,98.2,100.0,100.0,99.39999999999999,89.5,98.3,99.1,95.63333333333333,97.51666666666665,99.39999999999999,9172743232
8,4,97.9,100.0,100.0,99.3,89.66,98.2,99.1,95.65333333333335,97.47666666666667,99.3,9334502464
8,5,97.9,100.0,100.0,99.3,89.68,98.2,99.08,95.65333333333332,97.47666666666666,99.3,9496261696
8,6,97.9,100.0,100.0,99.3,89.48,98.16,99.04,95.56,97.43,99.3,9658020928
8,8,97.9,100.0,100.0,99.3,89.44,98.2,99.04,95.56,97.43,99.3,9981539392
8,16,97.9,100.0,100.0,99.3,89.44,98.2,99.04,95.56,97.43,99.3,11275613248
16,2,88.0,94.8,95.4,92.73333333333335,83.28,95.78,97.08,92.04666666666667,92.39000000000001,92.73333333333335,16887281728
16,3,98.2,100.0,100.0,99.39999999999999,89.5,98.28,99.08,95.62,97.50999999999999,99.39999999999999,17049040960
16,4,97.9,100.0,100.0,99.3,89.64,98.22,99.1,95.65333333333335,97.47666666666667,99.3,17210800192
16,5,97.8,100.0,100.0,99.26666666666667,89.66,98.18,99.06,95.63333333333333,97.44999999999999,99.26666666666667,17372559424
16,6,97.9,100.0,100.0,99.3,89.5,98.16,99.04,95.56666666666666,97.43333333333334,99.3,17534318656
16,8,97.9,100.0,100.0,99.3,89.46,98.2,99.04,95.56666666666666,97.43333333333334,99.3,17857837120
16,16,97.9,100.0,100.0,99.3,89.46,98.22,99.04,95.57333333333334,97.43666666666667,99.3,19151910976
